venue_id,venue_lon,venue_lat,zone_id
ven_734147386d4d7064594f53526b6f775a7030663358626c4a496843,-74.005407,40.7253081,125
ven_7352766d375a61587a6372526b6f775a464e6f644f774e4a496843,-73.9807073,40.7785222,142
ven_735365637a644a62515946526b6f775a467167495153764a496843,-73.9885064,40.7384555,234
ven_73556451754c68694a3032526b6f77594e6f68373256424a496843,-73.9744883,40.788696,238
ven_736667483138515937774c526b6f775a705a305967565f4a496843,-73.9922849,40.7272011,114
ven_736b33656f702d3178326d526b6f77594a46747a385f5f4a496843,-73.9934938,40.7568372,48
ven_7376556d395f614c53746f526b6f775a4e566d7377655f4a496843,-73.9773326,40.7850624,239
ven_7379566367365444366462526b6f775a70384d744f38354a496843,-73.9808411,40.7626274,230
ven_7733766951725664516f7a526b6f7759686f70335f79704a496843,-73.9780648,40.7838279,239
ven_774d7a7a4d797276745762526b6f77597449454e6562614a496843,-73.979375,40.77615,142
ven_775373576f773733303343526b6f775a68634f4c34776c4a496843,-73.976963,40.7795505,239
ven_77667a36446e4432637273526b6f775a742d316366516c4a496843,-73.9662694,40.7898661,238
ven_77686b76675f51577a7053526b6f775a356b52654665324a496843,-73.9550884,40.7694424,141
ven_303749644b67576e694b55526b6f7759685f4a445761324a496843,-73.9752076,40.7757544,43
ven_304a6c77747a366c755455526b6f77594a7070575959454a496843,-73.9709661,40.7739489,43
ven_306c63565a476e6d385736526b6f775a39786b4a6755524a496843,-73.960524,40.7506105,202
ven_30782d4b5379586f66706d526b6f775a745f45477777774a496843,-73.9797268,40.7519349,170
ven_344c49766b705544393465526b6f77327244307a4159434a496843,-73.969002,40.802939,24
ven_3461647039357657624c66526b6f775a39616d754d78594a496843,-73.9915931,40.74702,186
ven_3466426a743170534d634c526b6f77594a76706c5363784a496843,-73.9715901,40.7723522,43
ven_346c6843676c5559377662526b6f775a354f49314937644a496843,-73.9787461,40.752764,161
ven_347a2d78444c59782d4f4f526b6f77594e3534494233744a496843,-73.9661749,40.7772238,43
ven_3844456669735664576538526b6f775942716d6c4a5a4b4a496843,-73.9557386,40.7900956,43
ven_3855656e41664c4f68764c526b6f7732446b2d6e71786f4a496843,-73.9630671,40.8134045,166
